idSignosVitales,idPaciente,documentoPaciente,frecuenciaCardiaca,tensionArterial,temperatura,frecuenciaRespiratoria
1,1,196699713,82,100/72,36.4,20
2,2,352865762,87,118/73,37.0,19
3,3,578054227,93,131/64,36.3,15
4,4,159368553,61,137/83,36.8,19
5,5,459912919,78,103/61,36.9,18
6,6,481619987,91,110/61,37.4,14
7,7,685765611,69,104/79,36.1,20
8,8,930054627,73,125/63,37.4,18
9,9,829521169,73,137/79,36.1,14
10,10,984364241,84,137/78,36.8,16
11,11,812973878,71,120/67,36.4,15
12,12,524219931,100,119/74,36.5,20
13,13,918681807,62,100/74,36.9,18
14,14,147494574,64,104/77,36.3,16
15,15,608025373,66,122/88,36.1,15
16,16,935675369,81,118/65,36.7,18
17,17,973390270,77,139/85,37.0,14
18,18,367150385,100,135/69,37.4,14
19,19,1055118908,66,116/63,37.3,19
20,20,348084210,93,109/68,36.4,15
21,21,186058026,79,113/81,37.0,16
22,22,654238817,90,131/68,37.4,20
23,23,534596786,61,105/80,36.6,16
24,24,298387975,60,100/70,37.2,19
25,25,1095357688,74,110/83,36.7,19
26,26,928450660,85,135/60,36.2,19
27,27,778389475,67,134/61,37.3,18
28,28,895395511,93,109/73,36.2,16
29,29,487672768,81,102/88,36.5,19
30,30,609416364,73,106/71,37.2,20
31,31,92156705,84,139/83,36.2,15
32,32,13631985,68,111/88,36.6,15
33,33,654937160,79,126/85,37.0,19
34,34,656284941,73,117/65,37.2,14
35,35,192097028,82,102/87,36.7,15
36,36,1030347521,87,122/69,37.2,20
37,37,922994505,72,114/60,37.0,17
38,38,691392169,79,117/87,36.1,20
39,39,605521585,75,122/80,36.8,19
40,40,506630252,92,121/90,36.0,16
41,41,51944547,69,137/90,37.5,14
42,42,845064486,64,138/73,36.5,20
43,43,190275792,78,127/79,37.5,14
44,44,607551532,82,136/66,36.4,19
45,45,438123802,85,100/76,37.4,18
46,46,255957461,100,112/71,36.6,19
47,47,269963764,79,139/70,37.0,14
48,48,997282730,77,132/69,37.0,16
49,49,196107154,83,118/77,36.2,17
50,50,564807581,100,124/81,37.1,15
51,51,1032402165,97,136/69,36.6,20
52,52,1026319161,58,119/69,36.3,20
53,53,687634051,95,138/80,36.5,17
54,54,659114718,86,113/76,36.7,20
55,55,955899551,68,105/69,36.8,19
56,56,335831273,97,121/62,37.2,20
57,57,826855596,73,119/67,37.2,15
58,58,525106548,59,102/67,37.5,18
59,59,985024849,62,129/73,37.3,18
60,60,315450100,70,124/75,36.6,15
61,61,1070417158,99,100/88,37.1,20
62,62,588770519,64,127/67,36.3,19
63,63,725774335,91,129/61,36.8,20
64,64,552022401,65,129/64,37.2,19
65,65,1080505778,91,135/79,36.5,20
66,66,677330844,86,139/86,37.1,18
67,67,1046159949,85,135/74,37.3,19
68,68,583748917,88,128/68,37.1,20
69,69,820052427,98,117/84,37.2,17
70,70,828687658,98,115/68,36.7,19
71,71,955550388,76,115/68,36.5,18
72,72,182475834,63,108/64,36.3,19
73,73,498523064,67,113/62,36.6,16
74,74,322608752,92,129/73,36.1,20
75,75,317342969,84,124/88,37.2,19
76,76,652428853,59,136/72,36.7,16
77,77,644003224,77,124/87,37.3,20
78,78,480308659,84,134/83,37.1,20
79,79,203559947,96,114/75,36.3,17
80,80,643811434,89,101/72,36.5,19
81,81,986645563,83,110/86,36.7,15
82,82,485382438,97,134/60,37.4,18
83,83,218718232,94,101/62,37.0,15
84,84,886422184,87,111/61,36.4,16
85,85,272335998,71,129/70,36.5,17
86,86,454867064,75,126/68,37.3,17
87,87,246065031,59,134/61,37.5,16
88,88,254060020,72,104/84,37.4,14
89,89,76895490,59,115/66,37.3,18
90,90,280994374,67,115/64,36.7,14
91,91,255702336,94,113/74,37.0,20
92,92,866266548,81,110/79,36.9,19
93,93,210210112,65,110/90,36.5,18
94,94,918249979,59,119/78,37.0,17
95,95,799331346,83,112/62,36.9,20
96,96,673539552,98,115/63,37.0,16
97,97,742068555,96,107/85,37.5,20
98,98,116864129,60,122/77,36.6,16
99,99,1055035878,62,132/80,36.5,20
100,100,714637393,84,131/63,36.7,16
101,101,177208675,98,129/82,36.2,15
102,102,998050566,91,117/79,37.2,18
103,103,174023462,88,129/73,37.2,18
104,104,338285367,75,120/87,36.4,14
105,105,959634581,75,128/67,37.1,18
106,106,174778569,97,124/70,36.0,20
107,107,414241177,78,111/75,36.3,20
108,108,542025595,74,121/68,37.3,19
109,109,122454087,75,135/60,36.8,15
110,110,313715132,63,115/83,36.6,18
111,111,284435010,73,130/80,37.1,17
112,112,469975242,59,105/69,36.3,19
113,113,91062112,73,119/81,36.9,17
114,114,892312155,93,133/71,36.6,19
115,115,956175724,93,121/71,37.1,16
116,116,1042060568,77,116/67,36.2,15
117,117,206953391,78,107/83,36.8,20
118,118,694370545,69,112/66,37.1,16
119,119,973364334,95,133/79,36.4,14
120,120,522044934,70,118/67,36.5,16
